Id,Title,Body
1,Why Does Delphi's Math.Payment Function Return A Negative Number,"<p>I'm trying to calculate the monthly payment for the following scenario:</p>

<p>$5,000 is borrowed for 3 years at 8.00% compounded monthly with $1,000 due at the end of the term.</p>

<pre><code>/*
From Math.pas 
function Payment(Rate: Extended;
 NPeriods: Integer;
 const PresentValue: Extended;
 const FutureValue: Extended;
 PaymentTime: TPaymentTime): Extended;
*/

var
  Pmt : Extended;
begin
  Pmt := Payment(0.08/12,36,5000,1000,ptEndOfPeriod);
  Edit1.Text := FloatToStr(Pmt);
end
</code></pre>

<p>Result =  <b>-181.351526101918</b><br><br>
The result is correct except it is negative.<br><br>
Why does the result of the Payment function return a negative number?</p>
"
2,"Let $X$ be the total number of heads and $Y$ be the difference between the total number of heads and the total number of tails. Find $\rho(X, Y )$","<p>A coin (with probability of getting head equal to $p$) is tossed twice. Let $X$ be the total number of heads and $Y$ be the difference between the total number of heads and the total number of tails. Find $\rho(X, Y)$.</p>
"
3,Creating a new array having logarithmic values of elements in another array in Python,"<p>Hey.. I have run into a bit of a problem with my python code.. I have a set of values each for frequency and power-spectrum. I need to plot frequency v/s power-spectrum on Log scale. I was trying to store the logarithmic values of frequency and power-spectrum in 2 other variables and then plot them.. Any idea how that can be done?</p>
"
4,Convert for loop to apply,"<p>In R, how do you replace the following code using functions like <code>apply</code>, <code>lapply</code>, <code>rapply</code>, <code>do.call</code>, etc.? </p>

<pre><code>u &lt;- 10:12
slist &lt;- list()

for (i in 1:length(u)) {
  p &lt;- combn(u, i) 
  for (j in 1:ncol(p)) {
    s &lt;- paste(p[,j], collapse="","")
    slist[[s]] &lt;- 0
  }
}
</code></pre>

<p><br></p>

<p>For this part: </p>

<pre><code>  for (j in 1:ncol(p)) {
    s &lt;- paste(p[,j], collapse="","")
</code></pre>

<p>I tried something like:</p>

<pre><code>  s &lt;- apply(p, 2, function(x) paste(x, collapse="",""))
</code></pre>

<p>Which works. But then for that <code>slist[[s]] &lt;- 0</code> part inside that same for-loop, I don't know what to do. </p>

<p><strong>Edit:</strong> This is what I'm trying to do. For the vector <code>u</code>, I'm producing a list of all the subsets in that vector. Then for each subset, I'm assigning it to <code>s</code>, then using the string <code>s</code> as the name of an element in <code>slist</code>. Kind of strange, I know, but it's for a homework assignment. For the code above, this would be the first 5 elements of slist: </p>

<pre><code> &gt; slist
 $`10`
 [1] 0

 $`11`
 [1] 0

 $`12`
 [1] 0

 $`10,11`
 [1] 0

 $`10,12`
 [1] 0
</code></pre>

<p>Yeah, I'm just trying to learn how to use apply and stuff properly. </p>
"
5,Large scale Machine Learning,"<p>I need to run various machine learning techniques on a big dataset (10-100 billions records)
The problems are mostly around text mining/information extraction and include various kernel techniques but are not restricted to them (we use some bayesian methods, bootstrapping, gradient boosting, regression trees -- many different problems and ways to solve them)</p>

<p>What would be the best implementation? I'm experienced in ML but do not have much experience how to do it for huge datasets
Is there any extendable and customizable Machine Learning libraries utilizing MapReduce infrastructure 
Strong preference to c++, but Java and python are ok
Amazon Azure or own datacenter (we can afford it)?</p>
"
6,How to produce HTML tables and accompanying CSS using R Markdown or HTML Sweave?,"<p>I previously asked a question about <a href=""http://stackoverflow.com/q/10774285/180892"">how to export a HTML table in R and have control over line borders</a>. </p>

<p>I'm used to LaTeX where when you create a table, the formatting of the table is largely determined by the text and markup that appears at that point. This works well for Sweave, because your R code chunk can output LaTeX table markup at that point. I also understand that there are tools like <code>xtable</code> that can produce HTML markup for a table.</p>

<p>However, control over HTML tables seems to rely on style sheets, which are meant to appear in the header of the document and not in the location where the R code chunk is placed. Of course, I could just put content in the style sheet, but in scientific applications often there can be some quite specific table formatting that varies in some respects from table to table.</p>

<p>Thus, my question:</p>

<ul>
<li>In general, how do you format an HTML table with literate programming like R Markdown or even from raw HTML if formatting of the output requires output to be created in a separate place in the document (i.e., CSS for the table in the header) to where the R code chunk is placed (i.e.,the table itself in the body)?</li>
</ul>
"
7,Avoiding underflow for joint probabilities using numpy,"<p>I face a problem of estimating a joint probability for independent variables in a simple setup. Currently I have an array of 100 random variables and I would like to obtain their joint probability without failing into the underflow problem. Any ideas how to achieve this goal in numpy? if possible? If not could someone please explain me further the role of numpy routine (logaddexp) as I thought it might be a help for me in such situation.</p>

<p>Thanks</p>
"
8,how do I replace numeric codes with value labels from a lookup table?,"<p>This question is related to <a href=""http://stackoverflow.com/questions/8433523/creating-a-new-variable-from-a-lookup-table"">this question</a>, but not quite the same.</p>

<p>Say I have this data frame,</p>

<pre><code>df &lt;- data.frame(
                id = c(1:6),
                profession = c(1, 5, 4, NA, 0, 5))
</code></pre>

<p>and a string with human readable information about the profession codes. Say,</p>

<pre><code>profession.code &lt;- c(
                     Optometrists=1, Accountants=2, Veterinarians=3, 
                     `Financial analysts`=4,  Nurses=5)
</code></pre>

<p>Now, I'm looking for the easiest way to replace the values in  <code>df$profession</code> with the text found in <code>profession.code</code>. Preferably without use of special libraries, unless it shortens the code significantly.</p>

<p>I would like my end result to be</p>

<pre><code>df &lt;- data.frame(
                id = c(1:6),
                profession = c(""Optometrists"", ""Nurses"", 
                ""Financial analysts"", NA, 0, ""Nurses""))
</code></pre>

<p>Any help would be greatly appreciated.</p>

<p>Thanks,
Eric </p>
"
9,"Let $X$ be the total number of heads and $Y$ be the difference between the total number of heads and the total number of tails. Find $\rho(X, Y )$","<p>A coin (with probability of getting head equal to $p$) is tossed twice. Let $X$ be the total number of heads and $Y$ be the difference between the total number of heads and the total number of tails. Find $\rho(X, Y)$.</p>
"
10,Comparing reference classes objects in R,"<p>i recently started using <a href=""http://www.inside-r.org/r-doc/methods/ReferenceClasses"" rel=""nofollow"">reference classes</a>. At some point i would like to test whether two variables point at the same instance, or at different ones. </p>

<p>however, could not find any appropriate operator or function for this purpose:</p>

<ul>
<li><code>==</code> doesn't apply to objects, </li>
<li><code>identical</code> and <code>all.equal</code> just consider values, so won't be able to discriminate between two identical but distinct instances,</li>
<li>same thing for the package <a href=""http://cran.r-project.org/web/packages/compare/"" rel=""nofollow""><code>compare</code></a></li>
</ul>

<p>if anyone knows how to do that, i'd be much obliged!</p>

<p>thanks</p>
"
